spec_id,T,cv_spearman_mean,cv_spearman_std,fold_scores
28,0.6,0.11577131767330036,0.050246938307536244,"[0.034884159938662604, 0.11466362764540852, 0.1590770344608685, 0.09354663221409709, 0.17668513410746517]"
12,0.4,0.0875599306413418,0.041281883082993125,"[0.020973926129007725, 0.07909731359956831, 0.14298815626216047, 0.07799373438053261, 0.11674652283543979]"
21,0.6,0.0875599306413418,0.041281883082993125,"[0.020973926129007725, 0.07909731359956831, 0.14298815626216047, 0.07799373438053261, 0.11674652283543979]"
19,0.4,0.08607640217958772,0.03893633370623553,"[0.02410325383500682, 0.09233299760720484, 0.13350460563663002, 0.06360675100284288, 0.11683440281625404]"
6,0.2,0.08265332886056675,0.047599402010363015,"[0.03891838218527633, 0.11395022268670503, 0.1135701747165563, 0.0129586183571038, 0.1338692463571923]"
17,0.4,0.0820928144432774,0.05052790221711718,"[0.023907048442232404, 0.11325152750749495, 0.14340653976464854, 0.019884331613170773, 0.11001462488884035]"
7,0.2,0.08062482085288955,0.049076061422899935,"[0.00996199270852742, 0.12662000118218997, 0.1251684739396819, 0.033593407037009554, 0.1077802293970389]"
9,0.2,0.08062482085288955,0.049076061422899935,"[0.00996199270852742, 0.12662000118218997, 0.1251684739396819, 0.033593407037009554, 0.1077802293970389]"
10,0.4,0.08062482085288955,0.049076061422899935,"[0.00996199270852742, 0.12662000118218997, 0.1251684739396819, 0.033593407037009554, 0.1077802293970389]"
18,0.4,0.08062482085288955,0.049076061422899935,"[0.00996199270852742, 0.12662000118218997, 0.1251684739396819, 0.033593407037009554, 0.1077802293970389]"
13,0.4,0.08062482085288955,0.049076061422899935,"[0.00996199270852742, 0.12662000118218997, 0.1251684739396819, 0.033593407037009554, 0.1077802293970389]"
3,0.2,0.07186115525964783,0.045461282070781636,"[0.058611948850471524, 0.11776368108729109, 0.10524768440088446, -0.009922312589003945, 0.08760477454859601]"
23,0.6,0.06908182003725792,0.04797303190975118,"[0.01720955784333497, 0.11310074878487064, 0.12551017482812235, 0.009334926219246933, 0.08025369251071475]"
0,0.2,0.06908182003725792,0.04797303190975118,"[0.01720955784333497, 0.11310074878487064, 0.12551017482812235, 0.009334926219246933, 0.08025369251071475]"
11,0.4,0.06834350491584815,0.05759924517520296,"[0.0001281810849548745, 0.12151072072560684, 0.13519039002603866, 0.0018348854099072727, 0.08305334733273302]"
4,0.2,0.062446155354528445,0.06077090970284249,"[-0.001702688665956402, 0.13382186514142688, 0.11386009166986606, -0.016337295086753027, 0.08258880371405868]"
5,0.2,0.062446155354528445,0.06077090970284249,"[-0.001702688665956402, 0.13382186514142688, 0.11386009166986606, -0.016337295086753027, 0.08258880371405868]"
2,0.2,0.062446155354528445,0.06077090970284249,"[-0.001702688665956402, 0.13382186514142688, 0.11386009166986606, -0.016337295086753027, 0.08258880371405868]"
15,0.4,0.062446155354528445,0.06077090970284249,"[-0.001702688665956402, 0.13382186514142688, 0.11386009166986606, -0.016337295086753027, 0.08258880371405868]"
16,0.4,0.060657257195891254,0.04215924965528125,"[-0.023349947293165585, 0.07968785649471014, 0.08236680028163022, 0.08778232488074172, 0.07679925161553983]"
20,0.6,0.060356994389944796,0.04975497593612165,"[0.025790556250761043, 0.09229373950339907, 0.1323282661457786, -0.010223421744295257, 0.06159583179408052]"
29,0.6,0.047247857367568195,0.0554843772844572,"[0.007786207316588879, 0.05029365655096894, 0.12084239200166651, -0.033465550321518704, 0.09078258129013536]"
25,0.6,0.025710512462832312,0.03860029640923481,"[0.044049861736858646, 0.018338994697863844, 0.09008532843464957, -0.0057612462795225035, -0.01816037627568798]"
1,0.2,0.018533492265457335,0.040142072004937246,"[0.006463775492854833, 0.030300095581109156, 0.08274307476391406, -0.04177384099239608, 0.01493435648180472]"
27,0.6,0.018533492265457335,0.040142072004937246,"[0.006463775492854833, 0.030300095581109156, 0.08274307476391406, -0.04177384099239608, 0.01493435648180472]"
14,0.4,0.018533492265457335,0.040142072004937246,"[0.006463775492854833, 0.030300095581109156, 0.08274307476391406, -0.04177384099239608, 0.01493435648180472]"
26,0.6,0.018533492265457335,0.040142072004937246,"[0.006463775492854833, 0.030300095581109156, 0.08274307476391406, -0.04177384099239608, 0.01493435648180472]"
24,0.6,0.018533492265457335,0.040142072004937246,"[0.006463775492854833, 0.030300095581109156, 0.08274307476391406, -0.04177384099239608, 0.01493435648180472]"
8,0.2,0.0024378683669817962,0.04421433825392112,"[-0.052241417106895116, 0.020269709362139312, 0.0779434459052364, -0.01992614937662063, -0.013856246948950986]"
22,0.6,0.0024378683669817962,0.04421433825392112,"[-0.052241417106895116, 0.020269709362139312, 0.0779434459052364, -0.01992614937662063, -0.013856246948950986]"
